,Home Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Red Cards,Full Time Result
2607,41,8.0,6.0,6.0,21.0,73.0,20.0,12.0,17.0,3.0,0.0,5.0,2.0,6.0,23.0,83.0,22.0,23.0,8.0,1.0,0.0,1
2608,51,5.0,7.0,5.0,32.0,79.0,22.0,28.0,8.0,1.0,0.0,6.0,4.0,7.0,19.0,79.0,22.0,29.0,13.0,1.0,0.0,1
2609,82,4.0,4.0,6.0,18.0,91.0,14.0,2.0,10.0,0.0,0.0,2.0,2.0,1.0,9.0,64.0,10.0,21.0,22.0,4.0,0.0,2
2610,54,3.0,5.0,1.0,30.0,76.0,9.0,17.0,12.0,2.0,0.0,6.0,2.0,5.0,33.0,72.0,17.0,16.0,13.0,2.0,0.0,0
2611,44,5.0,4.0,10.0,26.0,63.0,30.0,14.0,12.0,0.0,0.0,4.0,2.0,5.0,27.0,71.0,31.0,29.0,12.0,2.0,0.0,0
2612,51,4.0,1.0,3.0,19.0,83.0,8.0,10.0,20.0,3.0,0.0,3.0,4.0,2.0,20.0,82.0,12.0,9.0,16.0,3.0,0.0,2
2613,47,4.0,3.0,2.0,30.0,73.0,18.0,15.0,14.0,2.0,0.0,2.0,3.0,7.0,33.0,78.0,12.0,15.0,11.0,2.0,0.0,0
2614,65,11.0,6.0,7.0,20.0,89.0,14.0,14.0,9.0,0.0,0.0,1.0,2.0,0.0,17.0,75.0,7.0,19.0,12.0,2.0,0.0,0
2615,44,5.0,2.0,3.0,27.0,79.0,10.0,18.0,7.0,2.0,0.0,4.0,4.0,2.0,19.0,84.0,17.0,21.0,14.0,5.0,0.0,1
2616,66,0.0,3.0,4.0,19.0,80.0,15.0,21.0,13.0,1.0,0.0,9.0,3.0,4.0,23.0,60.0,21.0,10.0,17.0,2.0,0.0,0
2617,65,4.0,2.0,6.0,25.0,71.0,23.0,23.0,12.0,6.0,0.0,2.0,4.0,5.0,27.0,56.0,27.0,29.0,10.0,2.0,0.0,2
2618,32,3.0,4.0,2.0,7.0,81.0,8.0,9.0,12.0,2.0,0.0,5.0,7.0,1.0,16.0,90.0,11.0,5.0,14.0,1.0,0.0,2
2619,74,11.0,3.0,6.0,22.0,90.0,11.0,14.0,13.0,1.0,0.0,4.0,2.0,2.0,22.0,71.0,12.0,23.0,15.0,0.0,0.0,2
2620,74,11.0,3.0,7.0,12.0,89.0,19.0,7.0,8.0,1.0,0.0,1.0,0.0,0.0,21.0,64.0,9.0,13.0,10.0,3.0,1.0,0
2621,53,5.0,5.0,8.0,20.0,75.0,19.0,7.0,12.0,2.0,0.0,2.0,3.0,3.0,23.0,75.0,9.0,24.0,18.0,1.0,0.0,1
2622,59,4.0,7.0,5.0,16.0,91.0,9.0,15.0,13.0,3.0,0.0,2.0,6.0,7.0,18.0,85.0,8.0,11.0,26.0,3.0,0.0,1
